user_id,course_id,gender,school,enroll_time,classification_encoded,classification,school_encoded,course_id_encoded,comment_count_week1,reply_count_week1,questions_done_week1,attempts_count_week1,correct_answers_week1,total_score_week1,user_watching_time_week1
U_29957130,C_1714448,2.0,辽宁对外经贸学院,2020-05-16 11:58:33,4,E,781,8,0.014084507042253521,0.0,0.1433823529411765,0.1433823529411765,0.05187319884726224,0.013636363636363636,0.03519785812378105
U_29809851,C_1714448,2.0,辽宁对外经贸学院,2020-05-07 10:45:30,4,E,781,8,0.014084507042253521,0.0,0.016544117647058824,0.016544117647058824,0.008645533141210374,0.0022727272727272726,0.03519785812378105
U_7548959,C_1912004,2.0,北京交通大学,2020-09-16 14:52:24,4,E,157,74,0.014084507042253521,0.0,0.0036764705882352936,0.0036764705882352936,0.005763688760806916,0.0015151515151515152,0.03519785812378105
U_26653766,C_747056,1.0,辽宁对外经贸学院,2020-04-16 10:48:07,4,E,781,147,0.014084507042253521,0.0,0.016544117647058824,0.016544117647058824,0.017291066282420747,0.005303030303030303,0.03519785812378105
U_11065125,C_676646,2.0,天津商业大学,2020-08-15 13:45:17,4,E,316,90,0.014084507042253521,0.0,0.001838235294117647,0.001838235294117647,0.002881844380403458,0.0007575757575757576,0.03519785812378105
U_31683522,C_682392,0.0,昆明理工大学,2020-10-14 12:05:08,0,A,476,108,0.04225352112676056,0.0,0.4485294117647059,0.4485294117647059,0.7002881844380403,0.2446969696969697,0.04272789170599979
U_5152216,C_735197,0.0,华南理工大学,2020-09-15 22:50:31,4,E,211,141,0.014084507042253521,0.0,0.016544117647058824,0.016544117647058824,0.017291066282420747,0.005303030303030303,0.03519785812378105
U_5768891,C_735306,0.0,重庆市医药学校,2020-10-16 09:04:03,3,D,842,144,0.0,0.0,0.11029411764705883,0.11029411764705883,0.09798270893371758,0.02878787878787879,0.04857592928115586
U_32994740,C_735164,1.0,昆明理工大学,2020-09-17 08:29:12,0,A,476,138,0.04225352112676056,0.0,0.007352941176470588,0.007352941176470588,0.01440922190201729,0.006060606060606061,0.04272789170599979
U_3443139,C_676646,0.0,天津商业大学,2020-08-08 17:13:05,4,E,316,90,0.014084507042253521,0.0,0.007352941176470588,0.007352941176470588,0.005763688760806916,0.0015151515151515152,0.03519785812378105
U_30285724,C_948395,1.0,辽宁对外经贸学院,2020-05-30 14:33:52,4,E,781,170,0.1267605633802817,0.0,0.0900735294117647,0.0900735294117647,0.09221902017291066,0.051515151515151514,0.03519785812378105
U_1710687,C_801420,0.0,陕西工业职业技术学院,2020-07-10 22:34:17,4,E,876,155,0.014084507042253521,0.0,0.0036764705882352936,0.0036764705882352936,0.002881844380403458,0.0007575757575757576,0.03519785812378105
U_11323988,C_1824926,0.0,武汉职业技术学院,2020-07-12 20:51:41,0,A,511,58,0.04225352112676056,0.0,0.10845588235294118,0.10845588235294118,0.15561959654178673,0.056818181818181816,0.04272789170599979
U_33657114,C_697076,2.0,辽宁对外经贸学院,2020-09-25 10:16:07,4,E,781,121,0.014084507042253521,0.0,0.17279411764705882,0.17279411764705882,0.1988472622478386,0.05909090909090909,0.03519785812378105
U_30404465,C_1829948,0.0,辽宁对外经贸学院,2020-06-08 15:31:02,4,E,781,61,0.0,0.0,0.005514705882352941,0.005514705882352941,0.005763688760806916,0.0015151515151515152,0.03519785812378105
U_29022791,C_948113,1.0,辽宁对外经贸学院,2020-05-08 17:07:46,4,E,781,166,0.014084507042253521,0.0,0.0036764705882352936,0.0036764705882352936,0.008645533141210374,0.0022727272727272726,0.03519785812378105
U_4516956,C_735197,2.0,华南理工大学,2020-10-19 22:11:05,3,D,211,141,0.14084507042253522,0.0,0.12683823529411764,0.12683823529411764,0.12680115273775217,0.03409090909090909,0.04857592928115586
U_33343316,C_697076,2.0,辽宁对外经贸学院,2020-11-17 21:07:49,4,E,781,121,0.014084507042253521,0.0,0.016544117647058824,0.016544117647058824,0.017291066282420747,0.005303030303030303,0.03519785812378105
U_2456432,C_735164,0.0,哈尔滨工程大学,2020-10-24 15:55:58,0,A,273,138,0.18309859154929578,0.0,0.10845588235294118,0.10845588235294118,0.15561959654178673,0.056818181818181816,0.028276112771629364
U_31153782,C_676646,1.0,辽宁对外经贸学院,2020-08-08 00:32:09,4,E,781,90,0.014084507042253521,0.0,0.02389705882352941,0.02389705882352941,0.023054755043227664,0.006060606060606061,0.03519785812378105
U_31133031,C_1828106,0.0,郑州,2020-09-23 21:48:24,3,D,806,59,0.11267605633802817,0.0,0.04044117647058824,0.04044117647058824,0.02593659942363112,0.07878787878787878,0.04857592928115586
U_29565142,C_696596,2.0,辽宁对外经贸学院,2020-04-24 10:43:47,4,E,781,117,0.014084507042253521,0.0,0.016544117647058824,0.016544117647058824,0.017291066282420747,0.005303030303030303,0.03519785812378105
U_33220091,C_697076,2.0,辽宁对外经贸学院,2020-09-21 20:53:53,0,A,781,121,0.04225352112676056,0.0,0.10845588235294118,0.10845588235294118,0.15561959654178673,0.056818181818181816,0.04272789170599979
