user_id,course_id,gender,school,enroll_time,comment_count_week1,reply_count_week1,questions_done_week1,attempts_count_week1,correct_answers_week1,total_score_week1,user_watching_time_week1,comment_count_week2,reply_count_week2,questions_done_week2,attempts_count_week2,correct_answers_week2,total_score_week2,user_watching_time_week2,comment_count_week3,reply_count_week3,questions_done_week3,attempts_count_week3,correct_answers_week3,total_score_week3,user_watching_time_week3,comment_count_week4,reply_count_week4,questions_done_week4,attempts_count_week4,correct_answers_week4,total_score_week4,user_watching_time_week4,classification,classification_encoded,school_encoded,course_id_encoded
U_1001413,C_735164,0.0,昆明理工大学,2020-11-26 23:40:08,,,156.0,164.0,155.0,215.0,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_1001522,C_735164,0.0,昆明理工大学,2020-12-01 11:11:06,,,156.0,156.0,156.0,216.0,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_1001694,C_735164,0.0,昆明理工大学,2020-11-18 19:49:32,,,,,,,,,,156.0,163.0,155.0,214.0,,,,,,,,,,,,,,,,A,0,476,138
U_1001697,C_735164,0.0,昆明理工大学,2020-11-28 11:03:45,,,5.0,8.0,3.0,4.0,,,,151.0,156.0,148.0,202.0,,,,,,,,,,,,,,,,A,0,476,138
U_1001703,C_735164,0.0,昆明理工大学,2020-10-19 20:57:49,,,,,,,,2.0,,,,,,,,,48.0,49.0,47.0,84.0,,2.0,,108.0,109.0,108.0,130.0,,A,0,476,138
U_1004659,C_735164,2.0,昆明理工大学,2020-09-15 13:42:15,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.7777055555555556,A,0,476,138
U_1004662,C_735164,1.0,昆明理工大学,2020-09-16 15:27:39,1.0,,,,,,,,,,,,,0.541725,,,,,,,,,,,,,,,A,0,476,138
U_1004792,C_735164,2.0,昆明理工大学,2019-10-17 22:16:19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,D,3,476,138
U_1004954,C_735164,0.0,昆明理工大学,2020-09-16 15:49:05,,,,,,,,,,,,,,,,,103.0,103.0,103.0,158.0,4.296388888888889,,,,,,,,A,0,476,138
U_1005324,C_735164,0.0,昆明理工大学,2020-09-16 15:28:08,,,5.0,6.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_1005500,C_735164,1.0,昆明理工大学,2020-10-23 10:58:09,3.0,,151.0,172.0,146.0,198.0,3.2444444444444445,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_1005547,C_735164,0.0,昆明理工大学,2020-09-17 20:25:03,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_1005603,C_735164,0.0,昆明理工大学,2020-11-29 07:20:08,,,,,,,,,,156.0,158.0,155.0,214.0,,,,,,,,,,,,,,,,A,0,476,138
U_10060973,C_735115,2.0,宁夏幼儿师范高等专科学校,2020-06-09 13:44:48,,,17.0,17.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,E,4,336,136
U_1006254,C_735164,1.0,昆明理工大学,2020-09-19 19:17:51,,,18.0,19.0,18.0,32.0,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_10073375,C_735197,0.0,华南理工大学,2020-09-10 19:00:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7633333333333334,D,3,211,141
U_1007999,C_735164,0.0,昆明理工大学,2020-11-29 12:04:40,,,156.0,167.0,150.0,205.0,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_1008050,C_735164,0.0,昆明理工大学,2020-09-16 13:51:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6640166666666665,A,0,476,138
U_1008086,C_735164,1.0,昆明理工大学,2019-10-26 15:56:12,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,E,4,476,138
U_1009244,C_735164,0.0,昆明理工大学,2020-10-20 10:14:31,1.0,,18.0,23.0,17.0,31.0,,,,,,,,,,,13.0,13.0,13.0,25.0,,,,,,,,,E,4,476,138
U_1009248,C_735164,0.0,昆明理工大学,2020-09-15 13:48:58,,,,,,,,1.0,,,,,,1.2944444444444445,,,,,,,,,,,,,,2.3216666666666668,A,0,476,138
U_1009268,C_735164,0.0,昆明理工大学,2020-10-21 23:33:28,,,,,,,,,,,,,,,,,,,,,,,,82.0,82.0,82.0,137.0,,A,0,476,138
U_1009297,C_735164,0.0,昆明理工大学,2020-09-17 10:26:27,,,,,,,0.3483333333333333,,,,,,,,,,,,,,0.0416666666666666,,,,,,,,A,0,476,138
U_1009481,C_735164,0.0,昆明理工大学,2020-09-20 09:13:46,,,,,,,,,,,,,,,1.0,,5.0,5.0,5.0,8.0,,1.0,,124.0,130.0,123.0,174.0,0.6938722222222222,A,0,476,138
U_1009492,C_735164,0.0,昆明理工大学,2020-10-20 09:23:31,,,12.0,14.0,11.0,20.0,0.2502777777777778,,,,,,,,1.0,,30.0,39.0,30.0,53.0,,,,12.0,15.0,11.0,11.0,,A,0,476,138
U_1009601,C_735164,0.0,昆明理工大学,2020-09-18 19:54:18,1.0,,,,,,,,,10.0,11.0,10.0,18.0,,,,,,,,,,,4.0,5.0,4.0,8.0,,A,0,476,138
U_1009735,C_735164,0.0,昆明理工大学,2020-09-21 21:08:06,,,5.0,6.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_1010426,C_735164,0.0,昆明理工大学,2020-09-19 19:18:08,1.0,,18.0,24.0,15.0,27.0,,,,17.0,20.0,16.0,26.0,,,,,,,,,1.0,,35.0,47.0,31.0,51.0,,A,0,476,138
U_1010429,C_735164,0.0,昆明理工大学,2020-10-22 20:15:19,1.0,,32.0,34.0,32.0,55.0,,,,,,,,,,,,,,,,,,,,,,,A,0,476,138
U_10126030,C_1714448,2.0,中国医科大学,2020-05-11 20:46:23,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,29.0,29.0,,E,4,69,8
U_10128128,C_1714448,1.0,中国医科大学,2020-03-18 14:53:08,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,C,2,69,8
U_10128165,C_1714448,2.0,中国医科大学,2020-05-15 12:31:05,,,79.0,79.0,57.0,57.0,,,,,,,,,,,,,,,,,,,,,,,C,2,69,8
U_10130407,C_1714448,2.0,中国医科大学,2020-03-18 19:02:23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2,69,8
U_10131497,C_1714448,1.0,中国医科大学,2020-03-18 14:00:47,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2,69,8
U_10131911,C_1714448,0.0,中国医科大学,2020-05-13 11:16:44,,,4.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,E,4,69,8
U_10138459,C_1714448,1.0,中国医科大学,2020-05-13 14:31:46,,,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,E,4,69,8
