user_id,course_id,gender,school,enroll_time,classification_encoded,classification,school_encoded,course_id_encoded,comment_count_week1,reply_count_week1,questions_done_week1,attempts_count_week1,correct_answers_week1,total_score_week1,user_watching_time_week1
U_33896355,C_697076,2.0,辽宁对外经贸学院,2020-11-28 21:46:14,4,E,781,121,0.0,0.0,100.0,100.0,73.0,80.0,0.0
U_25176579,C_948395,1.0,西安美术学院,2020-05-23 11:05:08,0,A,727,170,4.0,0.0,60.0,60.0,50.0,104.0,0.0
U_29561800,C_707079,2.0,辽宁对外经贸学院,2020-04-22 10:13:16,4,E,781,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_18519865,C_801420,2.0,辽宁对外经贸学院,2020-07-14 21:19:45,4,E,781,155,0.0,0.0,4.0,4.0,0.0,0.0,0.0
U_17894090,C_786631,1.0,北华航天工业学院,2020-04-23 14:32:20,0,A,186,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_4053652,C_1017355,2.0,广州中医药大学,2020-05-05 16:22:10,0,A,423,0,7.0,0.0,45.0,45.0,40.0,52.0,0.0
U_29686518,C_674959,2.0,辽宁对外经贸学院,2020-07-16 18:23:42,4,E,781,88,0.0,0.0,39.0,39.0,16.0,16.0,0.0
U_4825269,C_758928,0.0,陕西工业职业技术学院,2020-02-23 11:14:54,4,E,876,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U_30259296,C_674920,0.0,辽宁对外经贸学院,2020-05-28 17:25:16,4,E,781,87,0.0,0.0,120.0,120.0,120.0,123.0,0.0
U_6099726,C_1017355,2.0,广州中医药大学,2020-03-10 09:59:29,3,D,423,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U_8770786,C_735164,1.0,湖北工程学院,2020-11-27 11:38:46,0,A,624,138,0.0,0.0,156.0,177.0,153.0,210.0,0.0
U_31099509,C_682392,2.0,昆明理工大学,2020-07-30 14:10:40,0,A,476,108,0.0,0.0,10.0,10.0,5.0,5.0,0.0
U_29803555,C_766175,2.0,昆明理工大学,2020-05-09 17:05:48,0,A,476,151,0.0,0.0,6.0,6.0,6.0,6.0,0.0
U_33217491,C_697076,1.0,辽宁对外经贸学院,2020-10-08 18:35:24,4,E,781,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_28191769,C_735385,2.0,辽宁对外经贸学院,2020-05-10 22:38:53,4,E,781,146,0.0,0.0,3.0,3.0,2.0,2.0,0.0
U_33329491,C_697076,2.0,辽宁对外经贸学院,2020-11-03 10:07:26,4,E,781,121,0.0,0.0,5.0,5.0,3.0,3.0,0.0
U_33201913,C_1912004,1.0,辽宁对外经贸学院,2020-10-03 19:00:01,4,E,781,74,0.0,0.0,3.0,3.0,3.0,3.0,0.0
U_32756117,C_735164,1.0,昆明理工大学,2020-09-15 15:31:29,0,A,476,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_32756230,C_735164,2.0,昆明理工大学,2020-09-17 18:37:27,2,C,476,138,0.0,0.0,22.0,35.0,16.0,27.0,3.9621444444444447
U_33344790,C_697076,0.0,辽宁对外经贸学院,2020-10-15 10:46:49,4,E,781,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_33224744,C_697076,1.0,辽宁对外经贸学院,2020-09-24 15:09:55,0,A,781,121,0.0,0.0,15.0,15.0,15.0,18.0,0.0
U_25244687,C_948120,2.0,中国农业大学,2020-10-18 17:59:48,4,E,67,167,1.0,0.0,49.0,49.0,37.0,39.0,0.0
U_32612176,C_735164,1.0,昆明理工大学,2020-11-30 20:37:22,4,E,476,138,0.0,0.0,10.0,10.0,10.0,18.0,0.0
U_8013672,C_735164,0.0,广东海洋大学,2020-09-16 08:17:36,0,A,408,138,0.0,0.0,5.0,8.0,3.0,5.0,0.0
U_25502704,C_1829948,2.0,北方民族大学,2020-06-05 11:03:04,1,B,190,61,5.0,0.0,45.0,45.0,28.0,28.0,0.0
U_30199329,C_948395,2.0,昆明理工大学,2020-05-27 09:50:45,0,A,476,170,13.0,0.0,60.0,60.0,60.0,132.0,0.0
U_31211837,C_1756077,0.0,辽宁对外经贸学院,2020-08-16 22:27:20,4,E,781,28,0.0,0.0,6.0,6.0,3.0,3.0,0.25
U_33344218,C_697076,2.0,辽宁对外经贸学院,2020-11-19 13:59:36,4,E,781,121,0.0,0.0,45.0,45.0,27.0,29.0,0.0
U_6758748,C_1824911,2.0,重庆市三峡医药高等专科学校,2020-06-10 20:14:16,4,E,841,57,18.0,0.0,0.0,0.0,0.0,0.0,0.0
U_34542416,C_1912004,1.0,辽宁对外经贸学院,2020-12-02 22:53:47,4,E,781,74,0.0,0.0,1.0,1.0,0.0,0.0,0.0
U_33224317,C_697076,1.0,辽宁对外经贸学院,2020-11-08 11:10:53,4,E,781,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_28298952,C_1736024,0.0,广州中医药大学,2020-05-14 15:15:13,4,E,423,14,0.0,0.0,6.0,9.0,6.0,10.0,0.0
U_9811153,C_735197,1.0,华南理工大学,2020-09-24 11:26:13,2,C,211,141,7.0,0.0,37.0,37.0,26.0,27.0,0.0
