user_id,course_id,gender,school,enroll_time,classification_encoded,classification,school_encoded,course_id_encoded,comment_count_week1,reply_count_week1,questions_done_week1,attempts_count_week1,correct_answers_week1,total_score_week1,user_watching_time_week1,comment_count_week2,reply_count_week2,questions_done_week2,attempts_count_week2,correct_answers_week2,total_score_week2,user_watching_time_week2,comment_count_week3,reply_count_week3,questions_done_week3,attempts_count_week3,correct_answers_week3,total_score_week3,user_watching_time_week3,comment_count_week4,reply_count_week4,questions_done_week4,attempts_count_week4,correct_answers_week4,total_score_week4,user_watching_time_week4
U_33896355,C_697076,2.0,辽宁对外经贸学院,2020-11-28 21:46:14,4,E,781,121,0.0,0.0,100.0,100.0,73.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_29035147,C_1808487,0.0,辽宁对外经贸学院,2020-07-19 03:47:51,4,E,781,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0
U_25176579,C_948395,1.0,西安美术学院,2020-05-23 11:05:08,0,A,727,170,4.0,0.0,60.0,60.0,50.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_33219132,C_697076,2.0,辽宁对外经贸学院,2020-09-24 10:43:06,0,A,781,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,14.0,16.0,0.0,0.0,0.0,15.0,15.0,10.0,12.0,0.0,0.0,0.0,30.0,30.0,27.0,31.0,0.0
U_30356095,C_1829948,1.0,辽宁对外经贸学院,2020-06-04 17:53:52,4,E,781,61,9.0,0.0,17.0,17.0,10.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_30390924,C_682340,0.0,辽宁对外经贸学院,2020-06-07 13:58:41,4,E,781,106,0.0,0.0,15.0,15.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_29561800,C_707079,2.0,辽宁对外经贸学院,2020-04-22 10:13:16,4,E,781,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,22.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_29938847,C_1992929,2.0,辽宁对外经贸学院,2020-09-21 07:42:36,4,E,781,81,0.0,0.0,42.0,42.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_18519865,C_801420,2.0,辽宁对外经贸学院,2020-07-14 21:19:45,4,E,781,155,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_17894090,C_786631,1.0,北华航天工业学院,2020-04-23 14:32:20,0,A,186,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,0.0,20.0,0.0,133.0,133.0,133.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_7872906,C_1829948,0.0,北方民族大学,2020-06-18 08:26:38,4,E,190,61,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_33220334,C_697076,2.0,辽宁对外经贸学院,2020-10-07 08:50:26,4,E,781,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0
